# moi_2 moi_1 
67000000000001 50000000025240
67000000054053 50000000274956
67000000054053 50000000274957
67000000077286 50000000041133
67000000092816 50000000087125
67000000092816 50000000087131
67000000092817 50000000293179
67000000092822 50000000087128
67000000105138 50000000356189
67000000115152 50000000094859
67000000115152 50000000094860
67000000115154 50000000221043
67000000124403 50000000079612
67000000124406 50000000430305
67000000131718 50000000290854
67000000139867 50000000123138
67000000139869 50000000277540
67000000146970 50000000138975
67000000146970 50000000138976
67000000153307 50000000174075
67000000153312 50000000384709
67000000153313 50000000231715
67000000160812 50000000130254
67000000160812 50000000130256
67000000173133 50000000101009
67000000173136 50000000428495
67000000178497 50000000110862
67000000178500 50000000110865
67000000184181 50000000220008
67000000184181 50000000220010
67000000194785 50000000343484
67000000194786 50000000114773
67000000216072 50000000133838
67000000225714 50000000204985
67000000229146 50000000156083
67000000241012 50000000399117
67000000246555 50000000206386
67000000256225 50000000186226
67000000258162 50000000200752
67000000258162 50000000200753
67000000260243 50000000158267
67000000260243 50000000158268
67000000269553 50000000225858
67000000271076 50000000305624
67000000273181 50000000416256
67000000282211 50000000217773
67000000285387 50000000233979
67000000290744 50000000210929
67000000292102 50000000184805
67000000294407 50000000397370
67000000295828 50000000305303
67000000302085 50000000232767
67000000303329 50000000258649
67000000307256 50000000358771
67000000308503 50000000267087
67000000310159 50000000238585
67000000313615 50000000216435
67000000321039 50000000249043
67000000323513 50000000212082
67000000324128 50000000229968
67000000327096 50000000389979
67000000328098 50000000244162
67000000330081 50000000243290
67000000336718 50000000268588
67000000343517 50000000234932
67000000343517 50000000234933
67000000344125 50000000270430
67000000345762 50000000384856
67000000348010 50000000361938
67000000348011 50000000351427
67000000353206 50000000359361
67000000354839 50000000288610
67000000354839 50000000288611
67000000355961 50000000267987
67000000356635 50000000320215
67000000358978 50000000269902
67000000359921 50000000338226
67000000359922 50000000372723
67000000360662 50000000318476
67000000365785 50000000263483
67000000366372 50000000286303
67000000367142 50000000306477
67000000367728 50000000321473
67000000369178 50000000292471
67000000370480 50000000330253
67000000373217 50000000358412
67000000373825 50000000299151
67000000375571 50000000295361
67000000376070 50000000282179
67000000380850 50000000289699
67000000382687 50000000320512
67000000384936 50000000289097
67000000385414 50000000296936
67000000385766 50000000408628
67000000389526 50000000302516
67000000389526 50000000302517
67000000393423 50000000311047
67000000396305 50000000330763
67000000396987 50000000322213
67000000397509 50000000418402
67000000398712 50000000343114
67000000399866 50000000418293
67000000400274 50000000388914
67000000402894 50000000336434
67000000403303 50000000360470
67000000404128 50000000363059
67000000406810 50000000374573
67000000407908 50000000328954
67000000408305 50000000324875
67000000408736 50000000348111
67000000410462 50000000326577
67000000410755 50000000326115
67000000411599 50000000413958
67000000413570 50000000402840
67000000414327 50000000322736
67000000414736 50000000346415
67000000415502 50000000332911
67000000416299 50000000366628
67000000417693 50000000349980
67000000420732 50000000432228
67000000421199 50000000334559
67000000421627 50000000368705
67000000422759 50000000383266
67000000425729 50000000367492
67000000427901 50000000345185
67000000429919 50000000319559
67000000431812 50000000372172
67000000432436 50000000357491
67000000433115 50000000354791
67000000435040 50000000381905
67000000435612 50000000348676
67000000435938 50000000349714
67000000437244 50000000354187
67000000438427 50000000357215
67000000438729 50000000414201
67000000440536 50000000336770
67000000441134 50000000429838
67000000441808 50000000392305
67000000442078 50000000351902
67000000443678 50000000423763
67000000443998 50000000410289
67000000446565 50000000353058
67000000447492 50000000340214
67000000449302 50000000395480
67000000450666 50000000362340
67000000453770 50000000376216
67000000454511 50000000393463
67000000455000 50000000365097
67000000455777 50000000373518
67000000457190 50000000382081
67000000458451 50000000370710
67000000462087 50000000394019
67000000462591 50000000387308
67000000462756 50000000405405
67000000463563 50000000376409
67000000463802 50000000423932
67000000464081 50000000387628
67000000464803 50000000367942
67000000465260 50000000392956
67000000465515 50000000403113
67000000465808 50000000369921
67000000467602 50000000415394
67000000469661 50000000368947
67000000471346 50000000380541
67000000474363 50000000381289
67000000474796 50000000395107
67000000476750 50000000390427
67000000477876 50000000398645
67000000479505 50000000382259
67000000480517 50000000398942
67000000480833 50000000385359
67000000482967 50000000388534
67000000483109 50000000444709
67000000483324 50000000425915
67000000486254 50000000410888
67000000488076 50000000419416
67000000488563 50000000414629
67000000488864 50000000396185
67000000489023 50000000406512
67000000489908 50000000397028
67000000490221 50000000441614
67000000492045 50000000404896
67000000492399 50000000409489
67000000493336 50000000415060
67000000495260 50000000423234
67000000498080 50000000433349
67000000498432 50000000431805
67000000498840 50000000355055
67000000500545 50000000425789
67000000501779 50000000421418
67000000501995 50000000424384
67000000502906 50000000430590
67000000504019 50000000436794
67000000504937 50000000422458
67000000507929 50000000438741
67000000511593 50000000438933
67000000512912 50000000430423
67000000519140 50000000431663
67000000519328 50000000449794
67000000520769 50000000436457
67000000527863 50000000442572
67000000532070 50000000438021
