moi_SubhaloIDRaw,snapnum,p_acceleration,p_SubhaloIDRaw,s_SubhaloIDRaw,p_SubhaloMass,s_SubhaloMass,p_SubhaloPos,s_SubhaloPos,p_SubhaloVel,s_SubhaloVel,p_SubhaloSpin,s_SubhaloSpin,p_SubhaloHalfmassRad,s_SubhaloHalfmassRad,merger_snap,xy_projection,p_face_projection,s_face_projection
67000000000001,50,31.144071692940518,50000000025239,50000000025240,3161.2236,69.60748,[ 6378.0166 25688.217  23391.035 ],[ 6671.7173 25662.514  23295.098 ],[ 132.76762  -81.885   -226.69058],[ 242.60922 -134.63889 -173.1817 ],[4208.7847 9255.745  6836.9604],[-419.72354  382.06424  438.12894],289.71054,13.98406,57,https://www.tng-project.org/api/TNG50-1/snapshots/50/subhalos/25239/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/50/subhalos/25239/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/50/subhalos/25240/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged
67000000000001,51,13.2518461781659,51000000025775,51000000025776,3288.7146,76.17266,[ 6419.1143 25668.963  23312.857 ],[ 6687.6514 25629.686  23267.252 ],[ 158.68713   -93.801796 -239.18547 ],[-108.24503  -105.41809   -53.720207],[ 4499.964  10807.438   7246.1826],[-420.73782  372.61923  378.80945],312.05112,14.850705,57,https://www.tng-project.org/api/TNG50-1/snapshots/51/subhalos/25775/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/51/subhalos/25775/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/51/subhalos/25776/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged
67000000000001,52,9.004627620462804,52000000026288,52000000026289,3356.8938,72.31885,[ 6456.548 25656.248 23268.104],[ 6653.3726 25614.432  23261.938 ],[ 169.59004  -98.88255 -244.7464 ],[-334.98947   -88.49703    -9.790449],[ 4674.6245 11036.485   7433.415 ],[-402.77896  370.00693  377.09283],312.78345,13.479424,57,https://www.tng-project.org/api/TNG50-1/snapshots/52/subhalos/26288/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/52/subhalos/26288/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/52/subhalos/26289/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged
67000000000001,53,13.247497941334176,53000000026917,53000000026918,3454.9097,23.645483,[ 6532.0947 25634.412  23214.996 ],[ 6529.245 25619.521 23238.652],[ 174.27055 -103.79465 -250.66649],[-888.9752   333.38614 -475.2977 ],[ 4612.847  10664.3125  7344.788 ],[-295.95746  342.8962   260.57867],308.8865,3.655859,57,https://www.tng-project.org/api/TNG50-1/snapshots/53/subhalos/26917/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/53/subhalos/26917/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/53/subhalos/26918/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged
67000000000001,54,15.629962117371711,54000000028241,54000000028242,3453.5098,44.556396,[ 6582.554 25605.18  23176.633],[ 6491.508 25676.014 23108.469],[ 167.21452 -107.45674 -261.26355],[ 163.18013    43.659035 -439.802   ],[ 4797.4644 10141.332   7175.3804],[-299.762     428.70282    74.884476],308.73535,7.5947943,57,https://www.tng-project.org/api/TNG50-1/snapshots/54/subhalos/28241/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/54/subhalos/28241/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/54/subhalos/28242/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged
67000000000001,55,12.144986445144212,55000000029283,55000000029284,3482.2148,40.63993,[ 6614.7524 25594.457  23100.324 ],[ 6564.443 25637.367 23052.574],[ 160.19089  -106.847824 -275.21323 ],[ 524.28656  -424.3504    -34.266422],[4393.285  9950.299  6802.1724],[-256.36255   433.70642    51.749004],305.13953,6.78218,57,https://www.tng-project.org/api/TNG50-1/snapshots/55/subhalos/29283/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/55/subhalos/29283/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/55/subhalos/29284/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged
67000000000001,56,12.865520121651562,56000000029501,56000000029505,3550.9155,8.718431,[ 6632.024 25581.531 23037.5  ],[ 6658.391 25572.416 23063.104],[ 165.85713  -117.498314 -276.61374 ],[ 112.81031 -141.69193 -389.75186],[ 4063.0615 10100.436   6783.924 ],[-20.422054  44.872265 -35.394268],307.1943,1.5153457,57,https://www.tng-project.org/api/TNG50-1/snapshots/56/subhalos/29501/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/56/subhalos/29501/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/56/subhalos/29505/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged
67000000000001,57,7.928945627638405,57000000030626,57000000030680,3573.4504,0.17690575,[ 6670.088 25554.164 22978.63 ],[ 6734.9297 25510.66   23010.277 ],[ 164.60124  -127.215904 -284.95117 ],[-132.62459 -127.28272  187.588  ],[3754.403  9628.623  6055.0195],[ 1.1481224 -3.730094  -2.9582145],308.1044,0.17177667,57,https://www.tng-project.org/api/TNG50-1/snapshots/57/subhalos/30626/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/57/subhalos/30626/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/57/subhalos/30680/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged
67000000000001,58,11.327743268291922,58000000030710,58000000030935,3572.9954,0.1425749,[ 6696.2847 25532.98   22934.389 ],[ 6773.4937 25439.36   22474.33  ],[ 166.88022 -133.54358 -289.15057],[ 35.57464 -79.84725 130.53725],[3469.36  9351.289 5534.888],[-3.841678  -2.4394825  4.735279 ],308.40466,4.9244056,57,https://www.tng-project.org/api/TNG50-1/snapshots/58/subhalos/30710/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/58/subhalos/30710/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/58/subhalos/30935/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged
67000000000001,59,17.387878576979748,59000000032344,59000000032392,3567.8098,0.21638429,[ 6724.6045 25505.414  22872.32  ],[ 6783.2603 25544.738  22832.055 ],[ 169.08546 -143.11511 -294.7933 ],[-105.58118    60.955128 -432.27188 ],[3362.6904 8564.271  5352.6055],[ 6.0927396 -1.1782148  1.3365214],300.85095,0.20693159,57,https://www.tng-project.org/api/TNG50-1/snapshots/59/subhalos/32344/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/59/subhalos/32344/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/59/subhalos/32392/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged
