moi_SubhaloIDRaw,snapnum,p_acceleration,p_SubhaloIDRaw,s_SubhaloIDRaw,p_SubhaloMass,s_SubhaloMass,p_SubhaloPos,s_SubhaloPos,p_SubhaloVel,s_SubhaloVel,p_SubhaloSpin,s_SubhaloSpin,p_SubhaloHalfmassRad,s_SubhaloHalfmassRad,merger_snap,xy_projection,p_face_projection,s_face_projection
67000000054053,50,137.2522341997869,50000000274956,50000000274957,67.51887,19.830706,[23646.705 14666.639  1980.325],[23614.652 14748.545  2115.857],[-142.98985  137.61894  447.20215],[-200.50645    79.156624  281.5104  ],[ -643.11945 -1677.8213    705.05786],[ 247.42393 -326.59784  387.2397 ],102.87475,21.656979,58,https://www.tng-project.org/api/TNG50-1/snapshots/50/subhalos/274956/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/50/subhalos/274956/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/50/subhalos/274957/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged
67000000054053,51,34.25029246038192,51000000277885,51000000277886,84.83111,10.32472,[23563.033  14769.466   2192.3943],[23607.146  14711.587   2119.3394],[-174.65015  125.35585  408.1408 ],[-163.29863  187.92545  554.0329 ],[ -506.9366 -2122.3103  1148.306 ],[ -41.18995   -23.367596 -223.6984  ],108.08496,14.864799,58,https://www.tng-project.org/api/TNG50-1/snapshots/51/subhalos/277885/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/51/subhalos/277885/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/51/subhalos/277886/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged
67000000054053,52,44.84469304099412,52000000283349,52000000283350,92.10804,6.4287567,[23534.865  14778.909   2238.6472],[23577.803  14744.845   2209.7178],[-175.86119  135.67874  440.77597],[-205.7091   229.40779  588.8856 ],[ -564.35785 -2085.3193   1167.6045 ],[ -43.124104  -68.06406  -198.76804 ],92.3308,8.238655,58,https://www.tng-project.org/api/TNG50-1/snapshots/52/subhalos/283349/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/52/subhalos/283349/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/52/subhalos/283350/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged
67000000054053,53,53.62403134300681,53000000043101,53000000043117,84.69606,3.4939704,[23512.746  14786.294   2305.9778],[23515.668  14801.479   2335.5923],[-179.31981  149.18475  483.3984 ],[-369.55334  268.91577  523.0986 ],[ -593.8218 -1934.6521  1089.3043],[ -27.000921  -65.54028  -146.31073 ],65.58096,3.8290854,58,https://www.tng-project.org/api/TNG50-1/snapshots/53/subhalos/43101/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/53/subhalos/43101/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/53/subhalos/43117/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged
67000000054053,54,70.04602553519403,54000000045004,54000000045016,76.15307,5.087485,[23494.578 14811.077  2407.845],[23445.934  14848.252   2442.3704],[-186.17549  170.87416  531.95874],[-278.47922  179.66556  496.15265],[ -624.38684 -1901.974    1020.2527 ],[ -55.994804  -84.113014 -128.24344 ],69.87337,5.210476,58,https://www.tng-project.org/api/TNG50-1/snapshots/54/subhalos/45004/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/54/subhalos/45004/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/54/subhalos/45016/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged
67000000054053,55,62.949866042330704,55000000046172,55000000046184,74.581436,5.5664945,[23453.268  14850.553   2528.6997],[23396.39   14883.349   2556.2026],[-190.08322  201.53816  594.8149 ],[-194.60489  160.07759  542.35736],[ -583.4319 -1873.0436   959.3503],[-56.703323 -92.93251  -91.147354],70.603905,5.519221,58,https://www.tng-project.org/api/TNG50-1/snapshots/55/subhalos/46172/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/55/subhalos/46172/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/55/subhalos/46184/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged
67000000054053,56,178.4801777382607,56000000046470,56000000046481,66.296,5.966709,[23421.125  14888.997   2632.7874],[23370.355  14910.223   2647.8005],[-190.29984  231.7619   650.0341 ],[-125.07928  165.27219  588.09485],[ -514.8306 -1756.8699   819.6483],[-55.46843  -95.54115  -53.963886],64.082985,6.2532344,58,https://www.tng-project.org/api/TNG50-1/snapshots/56/subhalos/46470/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/56/subhalos/46470/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/56/subhalos/46481/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged
67000000054053,57,304.4566457515493,57000000047363,57000000047398,57.162827,0.6797447,[23364.143  14948.218   2785.6125],[23360.533  14949.889   2788.9946],[-157.18388  274.93256  731.6242 ],[-362.28403  263.42053  614.3362 ],[ -386.13083 -1318.7954    603.03674],[  5.9318504 -40.818798  -13.53238  ],38.685158,0.9927449,58,https://www.tng-project.org/api/TNG50-1/snapshots/57/subhalos/47363/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/57/subhalos/47363/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/57/subhalos/47398/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged
67000000054053,58,197.66578299413737,58000000047221,58000000047319,47.531025,0.112053625,[23336.371 14999.694  2915.075],[23311.219  14997.851   2915.2908],[-135.166    330.52737  805.66815],[-235.96574  316.75156  631.0588 ],[-333.9577  -966.1932   433.27148],[  0.10433573 -12.475512     0.3151227 ],30.247128,2.153996,58,https://www.tng-project.org/api/TNG50-1/snapshots/58/subhalos/47221/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/58/subhalos/47221/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/58/subhalos/47319/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged
67000000054053,59,318.94635996422244,59000000048195,59000000048266,34.787373,0.22966976,[23306.95   15089.222   3104.9065],[23311.418 15085.374  3085.748],[-92.02127 484.18533 922.28516],[ 114.074265  495.94443  1043.1356  ],[-322.7455  -719.55743  208.48502],[ 21.590233  -9.582129 -40.63825 ],21.655905,1.4478189,58,https://www.tng-project.org/api/TNG50-1/snapshots/59/subhalos/48195/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/59/subhalos/48195/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/59/subhalos/48266/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged
