moi_2,snap,merger_snap,p_moi_1,s_moi_1,xy_projection,p_face_projection,s_face_projection,p_SubhaloID,s_SubhaloID,p_NextProgenitorID,s_NextProgenitorID,p_MainLeafProgenitorID,s_MainLeafProgenitorID,p_FirstProgenitorID,s_FirstProgenitorID,p_SubhaloGrNr,s_SubhaloGrNr,p_SubhaloIDRaw,s_SubhaloIDRaw,p_SubhaloMass,s_SubhaloMass,p_RootDescendantID,s_RootDescendantID,p_SnapNum,s_SnapNum,p_DescendantID,s_DescendantID,p_SubhaloPos,s_SubhaloPos,p_SubhaloVel,s_SubhaloVel,p_SubhaloSpin,s_SubhaloSpin,p_SubhaloHalfmassRad,s_SubhaloHalfmassRad,p_SubhaloCM,s_SubhaloCM
29000000007534,14,28,25000000035928,25000000035929,https://www.tng-project.org/api/TNG50-1/snapshots/14/subhalos/23109/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/14/subhalos/23109/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/14/subhalos/37680/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,21001287,21033423,21002447,-1,21001301,21033435,21001288,21033424,141,333,14000000023109,14000000037680,5.3698316,0.20368773,20518974,20518974,14,14,21001286,21033422,[20968.283  16203.365   1769.7686],[20717.512  16782.424   3070.6743],[124.63029  -54.946075 161.99704 ],[  75.260666 -149.32938    17.289774],[ 76.53436  -46.144337 -46.089863],[ 0.98665154 -3.7373943  14.005318  ],50.905514,10.983935,[20959.832  16208.393   1751.9335],[20717.49   16782.71    3070.0984]
29000000007534,15,28,25000000035928,25000000035929,https://www.tng-project.org/api/TNG50-1/snapshots/15/subhalos/29037/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/15/subhalos/29037/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/15/subhalos/43557/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,21001286,21033422,21002819,-1,21001301,21033435,21001287,21033423,153,325,15000000029037,15000000043557,6.354653,0.11787641,20518974,20518974,15,15,21001285,21033421,[21000.342  16193.131   1806.5039],[20742.342  16732.553   3069.3254],[130.17827  -57.163834 173.89229 ],[  86.54687  -144.0926    -36.954174],[ 85.36931  -50.230244 -73.44587 ],[ 0.40130922 -2.4081354   4.2651424 ],47.729877,8.083931,[21003.723  16192.447   1804.8036],[20742.314 16733.752  3068.002]
29000000007534,16,28,25000000035928,25000000035929,https://www.tng-project.org/api/TNG50-1/snapshots/16/subhalos/30949/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/16/subhalos/30949/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/16/subhalos/46623/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,21001285,21033421,21003189,-1,21001301,21033435,21001286,21033422,144,303,16000000030949,16000000046623,8.135662,0.0458996,20518974,20518974,16,16,21001284,21033420,[21050.979 16181.45   1868.128],[20775.035  16690.707   3043.3416],[137.24908 -58.33938 185.36115],[ 112.345535 -108.60371  -119.84817 ],[115.62877 -69.90192 -97.12139],[0.00525258 2.5081277  0.5798488 ],53.909958,3.6925478,[21038.03   16170.41    1859.9507],[20774.957  16690.912   3043.2563]
29000000007534,17,28,25000000035928,25000000035929,https://www.tng-project.org/api/TNG50-1/snapshots/17/subhalos/34516/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/17/subhalos/34516/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/17/subhalos/48484/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,21001284,21033420,21003837,21033606,21001301,21033435,21001285,21033421,153,280,17000000034516,17000000048484,8.852117,0.05642137,20518974,20518974,17,17,21001283,21033419,[21098.4    16159.713   1926.6821],[20812.629 16660.238  3003.261],[136.95789 -62.57213 192.72144],[ 150.66321 -137.0949  -138.00638],[ 107.38565   -74.70835  -109.061455],[-3.9083133   0.90262544 -1.5569499 ],53.54747,4.520202,[21078.68   16154.623   1911.4573],[20812.582  16659.844   3004.0964]
29000000007534,18,28,25000000035928,25000000035929,https://www.tng-project.org/api/TNG50-1/snapshots/18/subhalos/44381/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/18/subhalos/44381/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/18/subhalos/26605/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,21001283,21033419,21004427,21034661,21001301,21033435,21001284,21033420,179,72,18000000044381,18000000026605,10.671286,10.274481,20518974,20518974,18,18,21001282,21033418,[21153.713  16136.089   2010.3679],[20884.61  16568.969  2976.973],[144.23845  -60.949806 206.97667 ],[ 215.53448 -160.48775  -32.85455],[ 102.33897   -41.611595 -120.059364],[  40.3204  -120.4356   249.82803],59.335716,50.53992,[21131.975  16127.055   1988.5167],[20933.07  16556.014  2983.758]
29000000007534,19,28,25000000035928,25000000035929,https://www.tng-project.org/api/TNG50-1/snapshots/19/subhalos/50763/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/19/subhalos/50763/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/19/subhalos/27800/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,21001282,21033418,21005434,21036359,21001301,21033435,21001283,21033419,188,65,19000000050763,19000000027800,12.190713,14.611428,20518974,20518974,19,19,21001281,21033417,[21184.018  16111.26    2066.8174],[20973.643  16510.814   2970.2458],[149.10896  -61.911217 219.43983 ],[ 214.49904 -160.64311  -12.89636],[ 120.08199     -3.8805516 -140.52539  ],[  60.704273 -180.15224   399.51392 ],59.164616,62.76274,[21177.787  16111.645   2053.8503],[21004.684  16513.969   2977.5342]
29000000007534,20,28,25000000035928,25000000035929,https://www.tng-project.org/api/TNG50-1/snapshots/20/subhalos/55919/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/20/subhalos/55919/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/20/subhalos/32026/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,21001281,21033417,21006231,21038618,21001301,21033435,21001282,21033418,186,66,20000000055919,20000000032026,14.110786,18.27353,20518974,20518974,20,20,21001280,21033416,[21225.03   16087.555   2132.3516],[21052.283  16464.11    2950.4648],[158.30807 -62.83431 235.55164],[ 222.51091  -168.73868    11.355336],[ 133.50131     -0.6635594 -157.18817  ],[360.40512  -51.76088   95.400764],60.470238,68.05921,[21231.035  16092.08    2134.5078],[21031.986  16468.58    2959.6416]
29000000007534,21,28,25000000035928,25000000035929,https://www.tng-project.org/api/TNG50-1/snapshots/21/subhalos/60323/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/21/subhalos/60323/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/21/subhalos/38936/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,21001280,21033416,21006885,21039271,21001301,21033435,21001281,21033417,172,73,21000000060323,21000000038936,15.6918335,20.42146,20518974,20518974,21,21,21001279,21033415,[21260.535  16074.744   2190.6096],[21110.273 16440.18   2950.186],[166.2856  -64.77046 248.48361],[ 230.30937  -175.01936    25.842731],[ 136.99115      -0.79955274 -145.06715   ],[416.36917  -99.8385    -2.536943],60.722668,74.80492,[21271.389  16077.369   2195.2905],[21080.818  16422.648   2962.2856]
29000000007534,22,28,25000000035928,25000000035929,https://www.tng-project.org/api/TNG50-1/snapshots/22/subhalos/64106/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/22/subhalos/64106/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/22/subhalos/46925/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,21001279,21033415,21008096,21040087,21001301,21033435,21001280,21033416,144,80,22000000064106,22000000046925,19.163214,23.793041,20518974,20518974,22,22,21001278,21033414,[21351.121 16043.649  2321.709],[21209.152  16362.086   2986.2168],[177.66368 -65.58253 270.7836 ],[ 244.12715 -189.49585   38.60861],[ 230.41591    90.621994 -152.38057 ],[ 526.76056  -224.56488  -107.620285],67.077736,85.81138,[21354.012  16043.1     2313.3442],[21190.943  16334.42    2979.9705]
29000000007534,23,28,25000000035928,25000000035929,https://www.tng-project.org/api/TNG50-1/snapshots/23/subhalos/71619/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/23/subhalos/71619/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/23/subhalos/57755/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,21001278,21033414,21009264,21041128,21001301,21033435,21001279,21033415,137,86,23000000071619,23000000057755,22.494593,26.593918,20518974,20518974,23,23,21001277,21033413,[21423.52   16020.759   2424.4734],[21292.72   16272.698   3014.4285],[190.01091 -63.87294 285.05435],[ 263.34476  -191.15932    40.662643],[ 311.85614    79.679375 -125.07007 ],[ 559.80145 -359.9568  -152.19844],70.21487,86.09339,[21423.479  16018.679   2415.2688],[21279.965  16267.33    2990.4094]
