moi_SubhaloIDRaw,snapnum,p_acceleration,p_SubhaloIDRaw,s_SubhaloIDRaw,p_SubhaloMass,s_SubhaloMass,p_SubhaloPos,s_SubhaloPos,p_SubhaloVel,s_SubhaloVel,p_SubhaloSpin,s_SubhaloSpin,p_SubhaloHalfmassRad,s_SubhaloHalfmassRad,xy_projection,p_face_projection,s_face_projection,pa_SubhaloMass,pa_SubhaloCM,pa_SubhaloVel,pa_SubhaloSpin,pa_SubhaloHalfmassRad,sa_SubhaloMass,sa_SubhaloCM,sa_SubhaloVel,sa_SubhaloSpin,sa_SubhaloHalfmassRad,ps_SubhaloMass,ps_SubhaloCM,ps_SubhaloVel,ps_SubhaloSpin,ps_SubhaloHalfmassRad,ss_SubhaloMass,ss_SubhaloCM,ss_SubhaloVel,ss_SubhaloSpin,ss_SubhaloHalfmassRad
67000000356635,67,2.934985287074039,67000000356635,67000000356638,101.785866,0.35248405,[28677.182 26284.145 22729.666],[28677.799 26286.256 22732.273],[20.427433 96.62563  65.574455],[ -57.16416   74.65875 -303.97495],[ -637.60767 -1269.724     371.26877],[ -3.6678712  -26.946321     0.62325656],72.715324,0.55791175,https://www.tng-project.org/api/TNG50-1/snapshots/67/subhalos/356635/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/67/subhalos/356635/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/67/subhalos/356638/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,92.14758666690253,[28671.87690084 26277.16436997 22724.55453987],[25.49110212 97.51873705 77.83027884],[ -85118.83855014 -174002.54147077   53460.07805056],75.20159077814888,9.990760692540166,[28688.29515826 26284.10330665 22762.93723782],[-29.01372128  87.61324045 -60.50252051],[ -8266.05923355 -21428.97961286   1593.14637106],38.905240807787074,3.8363908900016654,[28677.3880147  26282.10250933 22727.01913404],[ 31.05536455 102.13116979 160.91281204],[-5625.98204835 -1464.8282023   2245.3876153 ],9.68039308873596,1.3746456987429667,[28678.0614359  26286.05120052 22744.01593143],[ -46.10047439   74.33787955 -183.28417265],[-918.35486366 -639.49615166   70.06959582],12.932312096623736
67000000356635,66,2.2090075079574847,66000000355035,66000000355037,96.48159,2.7893906,[28671.469 26269.889 22708.05 ],[28682.28  26269.176 22749.94 ],[20.274881 98.06184  67.24591 ],[-10.484211 106.48152  -17.39103 ],[ -630.3601 -1256.4921   369.9244],[-3.58005977e+00 -7.28020401e+01  1.43432105e-02],68.84561,3.4490159,https://www.tng-project.org/api/TNG50-1/snapshots/66/subhalos/355035/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/66/subhalos/355035/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/66/subhalos/355037/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,86.33629957818852,[28667.11798079 26262.05331219 22711.47696685],[23.29697431 97.54635    63.87927331],[ -93070.85805919 -142626.64046444   51934.85465717],67.06409310410967,12.934682892824192,[28695.04721419 26267.48897705 22761.87340609],[ -6.53021846 103.31833733  71.46535586],[   871.04998799 -23263.06479233   -338.6558751 ],38.20187318423525,3.625534938477699,[28673.26877261 26267.7067087  22707.72122715],[26.35246595 89.81800211 92.55149708],[-6069.21417076 -1456.52334069  2139.81786287],10.57180582186077,1.3493787255347058,[28682.24353233 26269.04876374 22754.03988615],[-27.28111339 111.8011307    4.00044374],[ -97.22938524 -674.02074983    9.73408868],7.443036080464734
67000000356635,65,3.879088245101256,65000000351015,65000000351017,94.888176,2.8403122,[28667.404 26253.31  22696.746],[28682.307 26252.104 22744.426],[ 18.774275 100.04723   64.27039 ],[  9.929842 106.296364  97.655235],[ -595.2241  -1269.5791    393.05374],[ -20.093584 -120.18522     6.637934],62.086403,3.9708502,https://www.tng-project.org/api/TNG50-1/snapshots/65/subhalos/351015/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/65/subhalos/351015/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/65/subhalos/351017/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,82.27188915303765,[28662.83020101 26245.80207187 22701.70749112],[ 15.37554512 100.58417924  47.3474218 ],[ -98847.85169393 -127927.14626719   59826.63014428],59.80126840073147,15.456597069278931,[28694.96057102 26251.12622273 22741.48561246],[ 35.23967432  98.33756024 160.48228136],[  2308.42947429 -24112.68748686    582.18214357],28.783896085071675,3.506137128208877,[28668.35538862 26252.59255854 22695.4483453 ],[27.72698158 92.96553389 47.70885591],[-6114.95640198 -1514.94976568  2072.1580745 ],11.37634441708867,1.3037796038392455,[28685.07782459 26251.36633626 22745.14857369],[  1.40632452 107.5537966  114.35684903],[ -420.28224288 -1379.52587734    84.32687182],8.907567081301723
67000000356635,63,29.565038800919883,63000000343701,63000000343702,84.296455,7.264497,[28678.8   26213.227 22703.867],[28633.559 26212.154 22653.527],[ -9.883329 105.033325  54.754425],[229.0652  113.12685 186.79478],[ -691.1142  -1102.6462    259.90805],[ -93.86101  -274.27884   -31.802671],70.80685,9.183801,https://www.tng-project.org/api/TNG50-1/snapshots/63/subhalos/343701/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/63/subhalos/343701/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/63/subhalos/343702/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,73.75983963077734,[28672.632411   26208.55517592 22694.90134963],[-39.96470494 104.36460643  35.6455782 ],[-108778.82491922 -104853.98840444   49817.98199467],68.18425541284796,17.80111155339319,[28636.1413242  26214.24314125 22655.37218596],[212.2734867  111.10711468 187.81759408],[ 2905.17599177 -9396.11922586  2234.92997987],25.777838522004,3.209686757593147,[28678.68239991 26212.76012356 22703.21912455],[-79.64520595 106.92281168   9.51926168],[-6705.55589317 -1726.57993235  1274.05523403],10.443882084637968,1.2198357160406204,[28632.43214587 26212.50769064 22654.04774874],[226.60715716 113.42661464 188.38993385],[ -329.59923817 -1038.26048896  -142.71177547],7.079820372159649
67000000356635,64,3.7443370619020975,64000000346067,64000000346069,95.64277,0.5933185,[28664.86  26229.617 22697.371],[28673.746 26229.64  22695.172],[ 17.439499 103.1481    65.88998 ],[162.95076  91.50832 394.4105 ],[ -593.67865 -1280.0654    366.97537],[-13.461891 -48.174725  -3.254094],53.02885,1.5194085,https://www.tng-project.org/api/TNG50-1/snapshots/64/subhalos/346067/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/64/subhalos/346067/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/64/subhalos/346069/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,78.57634812355927,[28663.13636645 26223.89657522 22696.08888295],[-24.630677   105.06247231  19.35843326],[-117771.89861459 -123113.11409352   77739.30643699],63.854388813891816,17.65973971558524,[28673.04142046 26230.65482104 22691.09551403],[209.517941    94.23911598 283.9676921 ],[  4161.86196424 -16899.08587011   1479.81440987],22.29975028736659,3.303465551516979,[28664.2498819  26230.24622117 22698.43272923],[-53.08997764 112.47852757 -93.41827268],[-6618.36641007 -1737.49680855  1619.4723153 ],9.993240605068248,1.2649762110153802,[28674.55806959 26229.66741638 22694.56884584],[208.11549195  72.91288657 373.03122283],[ -338.14636378 -1148.82411779   -28.66334517],5.649892661093519
67000000282211,67,10.566423044528127,67000000282211,67000000282212,203.40257,3.973723,[25078.29  24880.75   9508.009],[25075.242 24946.533  9510.93 ],[  1.7204217 -24.252123  -25.007097 ],[   9.152336 -103.79286    85.593506],[ 1520.345   1059.615  -1051.8429],[123.33892  -76.59589  -74.335075],102.19756,3.028516,https://www.tng-project.org/api/TNG50-1/snapshots/67/subhalos/282211/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/67/subhalos/282211/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/67/subhalos/282212/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,200.77136414317764,[25087.68723912 24911.20644171  9524.97090308],[  1.65181031 -23.07112737 -26.32187371],[ 454366.36782672  320917.47690978 -324698.24351079],102.54821994321664,6.604936203791199,[25075.55951751 24946.17805899  9510.04322661],[   8.27726943 -108.00509827   81.49896106],[5721.09419003 -227.5172615   410.42649844],5.807828385217497,7.236031818123507,[25078.47698525 24884.74667126  9508.29118231],[ 11.60570461  -8.68841003 -54.97622123],[ 5139.42136008 -1458.65296753 -3915.43680394],6.912514826269385,1.4669363449123691,[25075.25631077 24945.78913511  9510.67590003],[   9.13432124 -110.62513431   87.25519482],[ 697.37936152 -186.51309328 -136.13442048],2.5990591147364794
67000000282211,66,4.0292558013533,66000000281510,66000000281511,201.00462,3.1257944,[25077.193 24885.256  9519.476],[25075.791 24955.012  9497.462],[  1.2532324 -28.19784   -25.676392 ],[-11.000941  16.730368  65.30932 ],[1464.6178  1133.4181  -895.41156],[ 138.05986   -94.975624 -101.0234  ],98.96772,3.146852,https://www.tng-project.org/api/TNG50-1/snapshots/66/subhalos/281510/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/66/subhalos/281510/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/66/subhalos/281511/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,197.19924064405865,[25085.69410558 24913.07981964  9528.32384249],[  1.44788977 -28.81046357 -27.36675986],[ 425960.82685056  342983.46382288 -275758.07041161],98.3951089052953,6.931181984812037,[25076.10637528 24955.178572    9497.65482873],[-9.81130656  9.49348448 63.44866785],[5355.68472885 -392.89892763  324.49421957],7.608604383580651,7.030228867762489,[25077.16033499 24887.69289679  9518.93936552],[  4.17960773 -45.09202023 -75.35040014],[ 4419.92396317 -2062.07847674 -3589.02883541],6.04718836191635,1.3924026763684765,[25075.91939777 24954.573041    9497.85233325],[-14.50398353   7.17268711  63.21286167],[ 619.58818367 -228.00925578  -83.77105763],2.868562240964259
67000000282211,65,5.0118828728169325,65000000276006,65000000276007,198.18295,4.578303,[25076.783 24898.934  9531.92 ],[25078.541 24942.018  9492.351],[  1.009482 -33.200737 -25.501535],[-19.269917 164.11813   -3.21855 ],[1430.0663  1282.907   -832.11053],[201.98277  -90.819916 -78.01413 ],94.7796,4.6384897,https://www.tng-project.org/api/TNG50-1/snapshots/65/subhalos/276006/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/65/subhalos/276006/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/65/subhalos/276007/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,195.27841054825896,[25085.06049206 24917.70665795  9533.33030248],[  1.3279676  -36.01524441 -25.84308172],[ 410609.93587603  390278.2162285  -253592.78974887],96.36830079999896,7.48284115391801,[25078.72485689 24942.3167414   9491.34289354],[-19.7097307  160.97656621  -2.95465573],[4142.21110284 -778.96559159 -281.53534983],8.121478009190874,6.905764797826819,[25076.60859314 24899.93733554  9531.72334121],[  -0.13644561 -105.46538587  -75.82684518],[ 2573.994623   -2208.48295967 -2933.02835274],5.606871636554986,1.3603966833841523,[25078.46864581 24942.00088251  9492.17628036],[-18.99682344 152.48907223  -4.15630139],[ 481.92765728 -283.77803733 -203.66249172],2.872934073264613
67000000282211,64,4.999711036552797,64000000271591,64000000271592,198.40358,3.853873,[25075.96  24926.684  9543.735],[25080.914 24892.14   9520.946],[  1.7570084 -34.325024  -20.687567 ],[  11.500547  218.45346  -304.25287 ],[1500.1362 1268.5424 -872.9216],[164.65533  -66.734116 -97.31657 ],100.2755,3.8076804,https://www.tng-project.org/api/TNG50-1/snapshots/64/subhalos/271591/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/64/subhalos/271591/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/64/subhalos/271592/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,194.41174047432327,[25082.86405189 24925.57340555  9537.01950329],[  1.47969994 -39.58818671 -14.90892735],[ 412613.84032581  400112.48897639 -272529.80904575],103.32274805748165,7.845711656407465,[25080.98217925 24891.73568022  9521.15014744],[  13.41463572  220.25953119 -303.1680227 ],[2153.16233825 -793.92613456 -846.61964251],8.209525721552593,6.691850414473635,[25075.70348268 24926.60751397  9543.80920315],[  13.43361236 -105.11712621  -24.80995826],[  257.11071727 -3696.50379586 -1889.37385553],5.362948400111247,1.270746586979442,[25081.00212688 24892.26104681  9521.02340826],[  16.66799082  229.89805964 -297.0331783 ],[ 366.74206662 -193.49489078 -285.29052177],2.7895948547548968
67000000282211,63,5.058539945704926,63000000270045,63000000270046,192.2325,6.939651,[25073.025 24939.27   9545.688],[25075.803 24871.17   9574.813],[  3.5486543 -31.290295  -17.05862  ],[  38.80349   54.50062 -324.31158],[1558.0952  1246.315   -861.31604],[ 115.79449   -68.731285 -105.89285 ],110.38815,7.794578,https://www.tng-project.org/api/TNG50-1/snapshots/63/subhalos/270045/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/63/subhalos/270045/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/63/subhalos/270046/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,191.1282108824587,[25079.92782442 24928.64194429  9541.1325466 ],[  3.33975318 -31.73623118 -15.31133953],[ 461045.68506309  383717.57386441 -266328.07136955],110.188800946249,8.043936900374208,[25075.79910645 24870.5619378   9575.29329796],[  38.92724912   53.31877568 -323.64765483],[ 1506.64909814  -998.13910621 -1473.00669732],9.41720812131044,6.599958376713815,[25073.0108208  24939.02514581  9545.96457042],[ 16.26070613 -51.88808723  -9.90937724],[ -350.90207162 -4418.42386853 -1145.15258482],5.301873498004272,1.208304471847157,[25075.8756194  24870.99463944  9575.00649761],[  40.2080376    54.90453969 -324.91429346],[ 313.06976597 -170.29979891 -325.46355698],2.8511327168244622
