In accumulate model script
hst_Arp_273 	- 01332
588017702948962343 	- 00411
587722984435351614 	- 01294
hst_Arp_CGCG 	- 00466
587733080814583863 	- 00604
587742010583941189 	- 01167
1237678620102623480 	- 01041
587727177926508595 	- 00506
587741602030026825 	- 00266
587726033843585146 	- 00344
hst_ESO_77-14 	- 00782
758874299603222717 	- 01068
587736941981466667 	- 00903
hst_Arp_244 	- 01196
587728676861051075 	- 00447
587732772130652231 	- 00589
587741534400217110 	- 00624
587731913110650988 	- 00559
587727222471131318 	- 00259
587727178988388373 	- 00624
588018055130710322 	- 00431
587736523764334706 	- 02165
hst_Arp_272 	- 00870
587739721376202860 	- 00405
587738569249390718 	- 00402
587729227151704160 	- 02914
587739707420967061 	- 00475
587741817851674654 	- 00784
587739721900163101 	- 00660
588017978901528612 	- 00413
587735043609329845 	- 02564
587741829658181698 	- 01799
587745402001817662 	- 00246
hst_NGC_5331 	- 00293
588011124116422756 	- 00538
587739646743412797 	- 02591
588013383816904792 	- 00356
587739647284805725 	- 00798
587724234257137777 	- 01515
587746029596311590 	- 02253
587741532784361481 	- 00883
588007005230530750 	- 02198
588017604696408086 	- 00619
587742571610243080 	- 00464
587732136993882121 	- 00718
587735665840881790 	- 00314
hst_NGC_6786 	- 03016
587739845393580192 	- 00458
587739810496708646 	- 00400
587734862680752822 	- 00512
758877153600208945 	- 03497
587747120521216156 	- 01226
587739505541578866 	- 00347
587739153356095531 	- 01100
588017604696408195 	- 00585
587741391565422775 	- 00382
587738569246376675 	- 00231
587739720308818095 	- 01438
587742014353702970 	- 00421
587741722819493915 	- 00619
hst_Arp_148 	- 01784
587739407868690486 	- 00436
 sdss: 62 - models: 58602 
