In accumulate model script
 sdss: 62 - models: 58602 
758877153600208945 	- 03497
hst_NGC_6786 	- 03016
587729227151704160 	- 02914
587739646743412797 	- 02591
587735043609329845 	- 02564
587746029596311590 	- 02253
588007005230530750 	- 02198
587736523764334706 	- 02165
587741829658181698 	- 01799
hst_Arp_148 	- 01784
587724234257137777 	- 01515
587739720308818095 	- 01438
hst_Arp_273 	- 01332
587722984435351614 	- 01294
587747120521216156 	- 01226
hst_Arp_244 	- 01196
587742010583941189 	- 01167
587739153356095531 	- 01100
758874299603222717 	- 01068
1237678620102623480 	- 01041
587736941981466667 	- 00903
587741532784361481 	- 00883
hst_Arp_272 	- 00870
587739647284805725 	- 00798
587741817851674654 	- 00784
hst_ESO_77-14 	- 00782
587732136993882121 	- 00718
587739721900163101 	- 00660
587741534400217110 	- 00624
588017604696408086 	- 00619
587733080814583863 	- 00604
587732772130652231 	- 00589
588017604696408195 	- 00585
587731913110650988 	- 00559
588011124116422756 	- 00538
587734862680752822 	- 00512
587727177926508595 	- 00506
587739707420967061 	- 00475
hst_Arp_CGCG 	- 00466
587742571610243080 	- 00464
587739845393580192 	- 00458
587728676861051075 	- 00447
587739407868690486 	- 00436
588018055130710322 	- 00431
587742014353702970 	- 00421
588017978901528612 	- 00413
588017702948962343 	- 00411
587739721376202860 	- 00405
587738569249390718 	- 00402
587739810496708646 	- 00400
587741391565422775 	- 00382
588013383816904792 	- 00356
587739505541578866 	- 00347
587726033843585146 	- 00344
587735665840881790 	- 00314
hst_NGC_5331 	- 00293
587741602030026825 	- 00266
587727222471131318 	- 00259
587745402001817662 	- 00246
587738569246376675 	- 00231
